gt,fid,group,tier,bed,id,canopy_area_sq_m,mNDVI_mean,mNDVI_median,mNDVI_max,cDSM_mean,cDSM_max,sDSM_median,mean_can_height,max_can_height,can_volume,date,count_thermal,mean_thermal,median_thermal,median.thermal.filtered.to.remove.poor.stands,stdev_thermal,min_thermal,max_thermal,name,entry.type,num,treatment
8,2,north,2,1,2,2.198783505,0.655895449,0.670026779,0.788400829,16.07997366,16.31551743,15.95913887,0.120834787,0.356378555,0.265689536,08-10-21,305,38.98493878,38.46800781,NA,4.987555771,31.41751953,49.1321875,UCD 9634,MAGIC parent,8,drought
8,2,north,2,1,2,0.415553165,0.616822368,0.615074575,0.766148031,14.33099217,14.35155582,14.32096434,0.010027836,0.030591488,0.004167099,07-06-21,NA,NA,NA,NA,NA,NA,NA,UCD 9634,MAGIC parent,8,drought
8,2,north,2,1,2,2.367910579,0.67342294,NA,0.81989646,15.83318907,16.07386589,15.62920952,0.203979553,0.444656372,0.483005341,08-24-21,314,40.78866547,40.60741211,NA,5.162592973,30.76066406,48.60242188,UCD 9634,MAGIC parent,8,drought
8,2,north,2,1,2,3.324888036,0.618667936,NA,0.792201936,12.45352787,12.62749767,12.29359293,0.15993494,0.333904743,0.53176577,09-28-21,312,34.24662929,32.93736328,32.93736328,2.954851202,30.94806641,42.19763672,UCD 9634,MAGIC parent,8,drought
159,3,north,3,1,3,0.176025698,0.565066646,0.560873628,0.698935449,14.34036995,14.35345364,14.33858776,0.001782188,0.014865875,0.000313711,07-06-21,NA,NA,NA,NA,NA,NA,NA,M4.59,MAGIC family 4,159,drought
159,3,north,3,1,3,3.024299325,0.617779091,NA,0.820615113,12.40846843,12.50946903,12.29736328,0.111105147,0.212105751,0.33601522,09-28-21,312,34.31650103,33.513125,33.513125,2.605708202,30.23363281,39.48488281,M4.59,MAGIC family 4,159,drought
159,3,north,3,1,3,2.52528898,0.673102663,NA,0.804764688,15.76520395,15.95578766,15.63701057,0.128193371,0.318777084,0.323725308,08-24-21,300,40.09557949,40.4665625,40.4665625,5.748075543,30.90017578,48.32058594,M4.59,MAGIC family 4,159,drought
159,3,north,3,1,3,1.784841121,0.680870896,0.70367223,0.791337252,16.23627461,16.49520493,15.96446037,0.271814233,0.530744553,0.48514522,08-10-21,288,39.67757067,40.44794922,NA,5.946251347,30.09453125,50.15,M4.59,MAGIC family 4,159,drought
164,4,north,4,1,4,0.229848092,0.626711803,0.628154218,0.762815714,14.3668004,14.39825439,14.35191631,0.014884083,0.046338081,0.003421078,07-06-21,NA,NA,NA,NA,NA,NA,NA,M4.74,MAGIC family 4,164,drought
164,4,north,4,1,4,3.157319714,0.7539479,0.785518289,0.849668562,16.22481323,16.57607841,15.96874332,0.256069903,0.607335091,0.808494552,08-10-21,302,35.16006202,33.55988281,33.55988281,4.570222014,29.65386719,46.37548828,M4.74,MAGIC family 4,164,drought
164,4,north,4,1,4,4.436151646,0.77194727,NA,0.868083656,15.98791858,16.22193909,15.64023972,0.347678863,0.581699371,1.542356162,08-24-21,319,33.84032621,31.84521484,31.84521484,4.244443729,30.07109375,46.44126953,M4.74,MAGIC family 4,164,drought
164,4,north,4,1,4,6.147802845,0.739344906,NA,0.877575099,12.57751727,12.90139198,12.30749512,0.270022148,0.593896866,1.66004293,09-28-21,288,30.2610182,30.15773438,30.15773438,1.019387712,28.76078125,35.77863281,M4.74,MAGIC family 4,164,drought
58,5,north,5,1,5,5.384068908,0.769903083,NA,0.861790776,15.91205494,16.18229294,15.6540451,0.258009837,0.528247833,1.38914274,08-24-21,300,33.4893625,31.81083008,31.81083008,3.934356883,29.44072266,47.44650391,M1.90,MAGIC family 1,58,drought
58,5,north,5,1,5,6.053270923,0.714458708,NA,0.86681968,12.4934481,12.74043751,12.30972099,0.18372711,0.430716515,1.112149972,09-28-21,290,31.52216844,30.93320313,30.93320313,1.773315252,29.43074219,37.76416016,M1.90,MAGIC family 1,58,drought
58,5,north,5,1,5,4.357148196,0.766736192,0.793871969,0.864087343,16.2886654,16.5767498,15.98023891,0.308426488,0.596510887,1.343859915,08-10-21,288,32.456427,30.69614258,30.69614258,3.930755687,28.90841797,45.03671875,M1.90,MAGIC family 1,58,drought
58,5,north,5,1,5,0.698808785,0.69396208,0.721654475,0.812993646,14.4098458,14.48849392,14.35980415,0.05004165,0.128689766,0.034969544,07-06-21,NA,NA,NA,NA,NA,NA,NA,M1.90,MAGIC family 1,58,drought
320,6,north,6,1,6,3.585862468,0.639350929,NA,0.829271436,12.51493411,12.73308563,12.31442642,0.200507687,0.41865921,0.718992991,09-28-21,312,33.19330404,32.5790625,32.5790625,2.10313451,30.24443359,38.55308594,M8.136,MAGIC family 8,320,drought
320,6,north,6,1,6,3.183946413,0.714272587,NA,0.847570539,15.94464601,16.19391441,15.66457844,0.280067571,0.529335976,0.891720137,08-24-21,324,38.32186343,37.16488281,37.16488281,5.452009876,30.43414063,48.27871094,M8.136,MAGIC family 8,320,drought
320,6,north,6,1,6,0.420432306,0.642075724,0.653093219,0.763848305,14.36394942,14.40700817,14.36021709,0.003732329,0.046791077,0.001569192,07-06-21,NA,NA,NA,NA,NA,NA,NA,M8.136,MAGIC family 8,320,drought
320,6,north,6,1,6,2.568391108,0.717722677,0.745099127,0.842259407,16.30879135,16.64335823,15.9865675,0.322223849,0.656790733,0.82759687,08-10-21,311,36.94295462,35.92808594,35.92808594,5.225440082,29.62771484,48.32011719,M8.136,MAGIC family 8,320,drought
43,7,north,7,1,7,5.436461995,0.756556856,NA,0.867033362,15.94880051,16.21671867,15.68401861,0.2647819,0.532700062,1.439476739,08-24-21,313,33.90585026,32.12742188,32.12742188,4.060559826,29.83121094,46.82185547,M1.32,MAGIC family 1,43,drought
43,7,north,7,1,7,0.52711135,0.676211803,0.696180165,0.7914657,14.39837794,14.42772484,14.37802219,0.020355743,0.049702644,0.010729743,07-06-21,NA,NA,NA,NA,NA,NA,NA,M1.32,MAGIC family 1,43,drought
43,7,north,7,1,7,8.221238464,0.74186261,NA,0.870949507,12.49842742,12.69862747,12.30755281,0.190874607,0.391074657,1.569225664,09-28-21,308,31.95433962,31.36013672,31.36013672,2.090842379,29.27171875,38.51035156,M1.32,MAGIC family 1,43,drought
43,7,north,7,1,7,4.099682826,0.752557495,0.783875406,0.876906157,16.24930821,16.53206444,16.00193405,0.247374156,0.530130386,1.014155579,08-10-21,310,38.72122826,37.02640625,37.02640625,7.697072687,29.75246094,52.01533203,M1.32,MAGIC family 1,43,drought
267,8,north,8,1,8,3.404360941,0.739461238,0.768670321,0.849035263,16.38910544,16.6271553,16.0081234,0.380982044,0.619031906,1.297000391,08-10-21,300,33.63405267,32.08737305,32.08737305,4.392196476,28.71080078,44.36371094,M7.64,MAGIC family 7,267,drought
267,8,north,8,1,8,0.740579041,0.66839692,0.684271514,0.803345025,14.42162557,14.45108414,14.38204479,0.039580773,0.069039345,0.029312691,07-06-21,NA,NA,NA,NA,NA,NA,NA,M7.64,MAGIC family 7,267,drought
267,8,north,8,1,8,4.242635366,0.72391485,NA,0.830720425,15.9588358,16.17234993,15.6911931,0.267642695,0.481156826,1.135510364,08-24-21,302,34.7418243,33.00772461,33.00772461,3.880300584,30.85335938,46.11349609,M7.64,MAGIC family 7,267,drought
267,8,north,8,1,8,4.547978034,0.661525354,NA,0.822010279,12.50954606,12.72584057,12.3021307,0.207415356,0.423709869,0.943320485,09-28-21,288,33.68279636,32.91822266,32.91822266,2.213668512,30.90292969,39.71460938,M7.64,MAGIC family 7,267,drought
41,9,north,9,1,9,2.479503143,0.612386511,NA,0.786724448,12.42503137,12.59553432,12.30762386,0.117407511,0.287910461,0.291112294,09-28-21,295,35.08629999,34.71957031,34.71957031,2.387501801,31.04429688,38.69441406,M1.20,MAGIC family 1,41,drought
41,9,north,9,1,9,4.102007926,0.721754099,0.746292591,0.822508991,16.34708571,16.64852715,16.02246284,0.324622862,0.626064301,1.331605554,08-10-21,300,34.16879232,32.56016602,32.56016602,4.804216344,28.50123047,45.26378906,M1.20,MAGIC family 1,41,drought
41,9,north,9,1,9,4.641861744,0.711404514,NA,0.827750385,15.921558,16.20798683,15.71047115,0.211086849,0.497515678,0.979835967,08-24-21,308,36.14324346,33.9480957,33.9480957,5.476836384,29.90453125,48.25013672,M1.20,MAGIC family 1,41,drought
41,9,north,9,1,9,0.359596759,0.643626134,0.655587494,0.759348392,14.4202793,14.45392704,14.39786243,0.022416861,0.056064606,0.008061031,07-06-21,NA,NA,NA,NA,NA,NA,NA,M1.20,MAGIC family 1,41,drought
200,10,north,10,1,10,3.423041718,0.704454204,NA,0.841148376,15.9651587,16.22766495,15.7090559,0.256102799,0.518609047,0.876650566,08-24-21,307,38.5418792,37.91728516,37.91728516,5.51399839,30.37779297,48.95623047,M5.93,MAGIC family 5,200,drought
