"","date","trt","bed","range","psi","time","plot","gt","campaign"
"1","05jul21_","d",3,11,0.327,13,"d_3_11",12,"first"
"2","05jul21_","d",5,11,0.307,13,"d_5_11",7,"first"
"3","05jul21_","d",5,10,0.197,13,"d_5_10",14,"first"
"4","05jul21_","d",7,6,0.288,13,"d_7_6",8,"first"
"5","05jul21_","d",13,15,0.146,13,"d_13_15",13,"first"
"6","05jul21_","d",21,7,0.21,13,"d_21_7",6,"first"
"7","05jul21_","d",23,8,0.287,13,"d_23_8",16,"first"
"8","05jul21_","d",31,4,0.294,13,"d_31_4",1,"first"
"9","05jul21_","d",33,10,0.105,13,"d_33_10",10,"first"
"10","05jul21_","c",31,7,0.174,13,"c_31_7",13,"first"
"11","05jul21_","c",23,6,0.408,13,"c_23_6",16,"first"
"12","05jul21_","c",21,10,0.166,13,"c_21_10",2,"first"
"13","05jul21_","c",19,14,0.178,13,"c_19_14",15,"first"
"14","05jul21_","c",15,11,0.685,13,"c_15_11",8,"first"
"15","05jul21_","c",15,5,0.333,13,"c_15_5",7,"first"
"16","05jul21_","c",13,2,0.382,13,"c_13_2",12,"first"
"17","05jul21_","c",11,3,0.266,13,"c_11_3",11,"first"
"18","05jul21_","c",5,6,0.275,13,"c_5_6",4,"first"
"19","05jul21_","d",3,11,0.413,13,"d_3_11",12,"first"
"20","05jul21_","d",5,11,0.406,13,"d_5_11",7,"first"
"21","05jul21_","d",5,10,0.251,13,"d_5_10",14,"first"
"22","05jul21_","d",7,6,0.253,13,"d_7_6",8,"first"
"23","05jul21_","d",13,15,0.545,13,"d_13_15",13,"first"
"24","05jul21_","d",21,7,0.23,13,"d_21_7",6,"first"
"25","05jul21_","d",23,8,0.304,13,"d_23_8",16,"first"
"26","05jul21_","d",31,4,0.225,13,"d_31_4",1,"first"
"27","05jul21_","d",33,10,0.34,13,"d_33_10",10,"first"
"28","05jul21_","c",31,7,0.131,13,"c_31_7",13,"first"
"29","05jul21_","c",23,6,0.37,13,"c_23_6",16,"first"
"30","05jul21_","c",21,10,0.185,13,"c_21_10",2,"first"
"31","05jul21_","c",19,14,0.103,13,"c_19_14",15,"first"
"32","05jul21_","c",15,11,0.656,13,"c_15_11",8,"first"
"33","05jul21_","c",15,5,0.195,13,"c_15_5",7,"first"
"34","05jul21_","c",13,2,0.445,13,"c_13_2",12,"first"
